method,num_partitions_multiplier,typical_doclen,kmeans_sample_multiplier,build_time (s),index_size (bytes),peak_build_mem (KB),recall@100,qps (s)
plaid,4,120,16,84.60026693344116,186293408,694864,0.3209833333333323,13.775115048038991
plaid,16,120,2,54.156506061553955,193817701,692396,0.3413166666666656,8.6600306814495
plaid,16,10,16,74.77444171905518,193479779,694252,0.3417666666666658,8.721647309159433
plaid,16,120,16,161.57824659347534,193043428,695776,0.3430166666666658,9.935203398252867
plaid,16,500,16,148.01016974449158,193043428,692508,0.3430166666666658,14.041937819996456
plaid,16,120,32,134.25497841835022,193043428,699892,0.3430166666666658,9.291760115446774
plaid,32,120,16,232.0382740497589,201576356,696248,0.3489333333333325,7.024210402186901

