method,n_table,build_time (s),index_size (bytes),peak_build_mem (KB),Recall@100,QPS (s)
dessert,16,238.02062392234802,219639691,1536684,0.30003333333333254,40.6439600580831
dessert,64,240.35642313957214,765039883,1977704,0.3482166666666656,24.643168760276296
dessert,128,240.63070797920227,1492240139,2639948,0.35559999999999886,12.448147405984702


