dataset,split,baseline,index_name,index_path,encoder,nbits,k,ncells,centroid_score_threshold,ndocs,num_queries,elapsed_sec,qps,ndcg_10,map_10,recall_10,p_10,ndcg_100,map_100,recall_100,p_100,mrr_10,mrr_100
scidocs,test,warp_precomputed_colbert_nbits2_thr0.45_ndocs1024,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,6,0.45,1024,1000,52.735,18.963,0.14978,0.08591,0.15598,0.077,0.21632,0.10128,0.35183,0.01733,0.26959,0.28147
scidocs,test,warp_precomputed_colbert_nbits2_thr0.45_ndocs1024,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,8,0.45,1024,1000,45.606,21.927,0.14978,0.08591,0.15598,0.077,0.21621,0.10127,0.35143,0.01731,0.26959,0.28146
scidocs,test,warp_precomputed_colbert_nbits2_thr0.45_ndocs1024,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,10,0.45,1024,1000,54.763,18.261,0.14978,0.08591,0.15598,0.077,0.21615,0.10126,0.35123,0.0173,0.26959,0.28145
scidocs,test,warp_precomputed_colbert_nbits2_thr0.45_ndocs1024,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,12,0.45,1024,1000,56.91,17.572,0.14978,0.08591,0.15598,0.077,0.21615,0.10126,0.35123,0.0173,0.26959,0.28145
scidocs,test,warp_precomputed_colbert_nbits2_thr0.45_ndocs1024,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,14,0.45,1024,1000,75.798,13.193,0.14978,0.08591,0.15598,0.077,0.21615,0.10126,0.35123,0.0173,0.26959,0.28145
scidocs,test,warp_precomputed_colbert_nbits2_thr0.45_ndocs1024,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,16,0.45,1024,1000,70.059,14.274,0.14978,0.08591,0.15598,0.077,0.21615,0.10126,0.35123,0.0173,0.26959,0.28145
scidocs,test,warp_precomputed_colbert_nbits2_thr0.45_ndocs1024,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,18,0.45,1024,1000,71.999,13.889,0.14978,0.08591,0.15598,0.077,0.21615,0.10126,0.35123,0.0173,0.26959,0.28145
scidocs,test,warp_precomputed_colbert_nbits2_thr0.45_ndocs1024,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,20,0.45,1024,1000,48.186,20.753,0.14978,0.08591,0.15598,0.077,0.21615,0.10126,0.35123,0.0173,0.26959,0.28145
scidocs,test,warp_precomputed_colbert_nbits2_thr0.4_ndocs4096,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,1,0.4,4096,1000,105.557,9.474,0.15076,0.08635,0.15723,0.0776,0.21954,0.10214,0.36043,0.01778,0.27125,0.28302
scidocs,test,warp_precomputed_colbert_nbits2_thr0.4_ndocs4096,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,2,0.4,4096,1000,108.808,9.191,0.15012,0.08604,0.15658,0.0773,0.21791,0.10171,0.35648,0.01756,0.2699,0.28176
scidocs,test,warp_precomputed_colbert_nbits2_thr0.4_ndocs4096,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,4,0.4,4096,1000,116.988,8.548,0.14966,0.08586,0.15578,0.0769,0.21719,0.10142,0.35503,0.01749,0.26944,0.28138
scidocs,test,warp_precomputed_colbert_nbits2_thr0.4_ndocs4096,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,6,0.4,4096,1000,130.232,7.679,0.14977,0.08589,0.15598,0.077,0.21696,0.1014,0.35403,0.01744,0.26959,0.28149
scidocs,test,warp_precomputed_colbert_nbits2_thr0.4_ndocs4096,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,8,0.4,4096,1000,110.689,9.034,0.14977,0.08589,0.15598,0.077,0.21674,0.10137,0.35323,0.0174,0.26959,0.28147
scidocs,test,warp_precomputed_colbert_nbits2_thr0.4_ndocs4096,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,10,0.4,4096,1000,127.697,7.831,0.14977,0.08589,0.15598,0.077,0.21669,0.10137,0.35303,0.01739,0.26959,0.28147
scidocs,test,warp_precomputed_colbert_nbits2_thr0.4_ndocs4096,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,12,0.4,4096,1000,103.898,9.625,0.14977,0.08589,0.15598,0.077,0.21669,0.10137,0.35303,0.01739,0.26959,0.28147
scidocs,test,warp_precomputed_colbert_nbits2_thr0.4_ndocs4096,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,14,0.4,4096,1000,114.114,8.763,0.14977,0.08589,0.15598,0.077,0.21663,0.10136,0.35283,0.01738,0.26959,0.28145
scidocs,test,warp_precomputed_colbert_nbits2_thr0.4_ndocs4096,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,16,0.4,4096,1000,122.958,8.133,0.14977,0.08589,0.15598,0.077,0.21663,0.10136,0.35283,0.01738,0.26959,0.28145
scidocs,test,warp_precomputed_colbert_nbits2_thr0.4_ndocs4096,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,18,0.4,4096,1000,137.417,7.277,0.14977,0.08589,0.15598,0.077,0.21663,0.10136,0.35283,0.01738,0.26959,0.28145
scidocs,test,warp_precomputed_colbert_nbits2_thr0.4_ndocs4096,beir-scidocs.split=test.precomputed=colbert.nbits=2,/data/ali/warp-indexes/beir-scidocs.split=test.precomputed=colbert.nbits=2,colbert,2,100,20,0.4,4096,1000,132.169,7.566,0.14977,0.08589,0.15598,0.077,0.21663,0.10136,0.35283,0.01738,0.26959,0.28145
